comment,decision_type,final_label_after_llm,final_negative,final_neutral,final_positive,keyword,llm_label,llm_reason,season,sentiment_association,star_negative,star_neutral,star_positive,star_top_label,star_top_score,tri_negative,tri_neutral,tri_positive,tri_top_label,tri_top_score
实在不能接受RACHAL和JOEY暧昧来暧昧去的。。。三观碎一地。,weighted_merge,negative,0.7173384631410789,0.21851532423131764,0.06414621262760344,暧昧,negative,评论明确表达了对剧情的不满和批评，认为其破坏三观。,9,negative,0.6839458973077263,0.25432536526697525,0.06172873742529844,negative,0.6839458973077263,0.7674273118911078,0.1648002626778312,0.0677724254310609,negative,0.7674273118911079
明星越来越多……老公都来助阵了,llm_override_large_gap_conflict,neutral,0.0,1.0,0.0,助阵,"","",9,neutral,0.07459315006366088,0.2200484907305342,0.7053583592058048,positive,0.7053583592058049,0.2630103120332317,0.4387444947414241,0.29824519322534426,neutral,0.4387444947414241
经典至极，看过无数遍,weighted_merge,positive,0.05132199727764665,0.20823996762391161,0.7404380350984419,无数,"","",9,positive,0.0356770695604313,0.26675744143185487,0.6975654890077138,positive,0.6975654890077139,0.07478938885346965,0.12046375691199665,0.8047468542345337,positive,0.8047468542345337
最后一集的重新组合真有些混乱，但我觉得这样倒是很好。,weighted_merge,neutral,0.27245101111593845,0.42944038086303377,0.2981086080210278,组合,"","",9,neutral,0.1983542978395737,0.5306315704576278,0.2710141317027986,neutral,0.5306315704576278,0.3835960810304856,0.27765359647114285,0.3387503224983715,negative,0.3835960810304856
怎么会有这么好看的东西啊：）,weighted_merge,positive,0.2661953511892533,0.24088123570061143,0.4929234131101352,东西,"","",9,positive,0.27682898491621016,0.25697527676820753,0.46619573831558225,positive,0.46619573831558225,0.2502449005988181,0.2167401740992173,0.5330149253019646,positive,0.5330149253019646
突然就追到了这里，竟然已九季！为什么是J&R两个在一起了？？？,weighted_merge,positive,0.28350246588968153,0.3432710408573404,0.3732264932529781,已九季,"","",9,positive,0.24218335046757822,0.3131580467300491,0.4446586028023726,positive,0.4446586028023726,0.3454811390228364,0.38844053204827733,0.2660783289288862,neutral,0.38844053204827733
第5集菲比的庆生会，17集老友记也开始上网了，瑞秋和Joey互表心意了。第九季了啊好快，真不想结束愉快的旅程但是又很期待。,weighted_merge,positive,0.09764402108807788,0.34622072280942895,0.5561352561024931,庆生,"","",9,positive,0.06139595854076331,0.3348007905888205,0.6038032508704162,positive,0.6038032508704162,0.15201611490904973,0.36335062114034167,0.4846332639506086,positive,0.4846332639506086
这两季的Joey简直是小天使般存在，从他得知Phoebe or Rachel pregnant愿意主动承担责任共同面对，到大家为彩票痴狂疯狂许愿，而他许下了Chandler面试通过的愿望，有这样的朋友人生是多么幸运,llm_override_large_gap_conflict,positive,0.0,0.0,1.0,小天使,"","",9,positive,0.18943058691494602,0.41486607652057766,0.3957033365644763,neutral,0.41486607652057766,0.07562752068042755,0.1351853460073471,0.7891871333122253,positive,0.7891871333122253
oh my god！第九季了！一群可爱的人啊！,weighted_merge,positive,0.1533612792615719,0.22543449447413366,0.6212042262642945,可爱,"","",9,positive,0.11067827273870945,0.20379642746856774,0.6855252997927228,positive,0.6855252997927228,0.21738578904586553,0.25789159498248254,0.5247226159716519,positive,0.5247226159716519
钱德勒对爱与婚姻的看法常常打动我，回顾集里莫妮卡问他婚后的生活样式，他的回答让我初次看到，婚后不是打开一个截然不同的新生活，而是此前生活更美好的延续，不仅是夫妻小孩，还留给Joey一个车库养老，它不走向狭窄，反而是更温暖的团聚。,weighted_merge,positive,0.14741545422225633,0.38036433223592364,0.47222021354182003,回顾,"","",9,positive,0.09186616711069209,0.4166285555181755,0.4915052773711323,positive,0.49150527737113237,0.23073938488960266,0.3259679973125458,0.44329261779785156,positive,0.44329261779785156
第五季~,weighted_merge,positive,0.07641720903284858,0.33839157922761,0.5851912117395415,第五,"","",9,positive,0.08482559149370159,0.2687247148006106,0.6464496937056878,positive,0.6464496937056878,0.06380463534156908,0.4428918758681091,0.4933034887903218,positive,0.4933034887903218
Monica好幸运，遇到了RIchard和Chandler两个爱她、温柔对她的男人。从小被父母忽视、否认的她，极度渴望来自别人的认可与喜爱。有一集她在酒吧登台唱歌，即使发现台下的男人是因为她露点了才喝彩，她也毫不在乎地继续唱下去。这样低自尊的女生，现实生活里很容易走入一段虐待性关系，被另一半剥削利用或者控制打压，她们还会非常疑惑为什么自己总是遇见渣男。Chandler与父母关系也不和谐，他内心同样自卑，所以才会发展出讲笑话的才能吸引别人的注意。好在他是家中独子，多少或得一些爱，长大后成了一个懂得温柔爱人的的人。即使剧里多次拿Chandler没有性魅力这点开玩笑，钱莫依旧是般配的不要不要的。,weighted_merge,positive,0.4017831857507279,0.2993697431280235,0.29884707112124853,遇见,positive,评论整体表达了对角色关系和剧情设计的认可与喜爱，情感倾向积极正面。,9,negative,0.34371304006104203,0.34141917341225,0.31486778652670794,negative,0.34371304006104203,0.4888884042852568,0.2362955977016838,0.2748159980130594,negative,0.4888884042852568
很喜欢Joey但是她跟瑞秋的感情其实我觉得也不错但还是觉得奇奇怪怪的,weighted_merge,neutral,0.18733321430923172,0.4494687752864777,0.3631980104042905,感情,"","",9,neutral,0.1135663110669035,0.5838248373694231,0.3026088515636734,neutral,0.5405785531198362,0.3354502120345704,0.3378284372193553,0.3267213507460743,positive,0.3765938432834021
写论文期间用作调剂的效果超赞，这一季的关系真是峰回路转七扭八歪= = 但果然还是超好看！PS：莫妮卡和钱德勒真是相亲相爱……,weighted_merge,positive,0.1290572444874581,0.3347062070645028,0.5362365484480391,回路,"","",9,positive,0.10687392903149924,0.4223425444827398,0.47078352648576083,positive,0.4707835264857609,0.16233221767139638,0.20325170093714726,0.6344160813914563,positive,0.6344160813914563
"有点不喜欢排列组合，和结尾都是女生求爱男生为了朋友拒绝的安排
我本来以为菲比会和Joey在一起的，不过Mike也很好哎！
钱德勒总在意想不到的时候展现一个已婚男性可以成熟到什么地步！
Joey最后敲开Rachel房门的那个bgm绝了??",weighted_merge,positive,0.42667596708605665,0.3782910407760134,0.19503299213792996,joeymike,positive,评论整体以喜爱和认可为主，虽有轻微吐槽但被大量正面表达覆盖,9,negative,0.3772321372596239,0.4359991443096328,0.18676871843074327,neutral,0.4359991443096328,0.5008417118257058,0.29172888547558423,0.20742940269870996,negative,0.5008417118257058
Ross什么的最讨厌了，Joey虽然不够聪明，比他有担当多了...,llm_override_large_gap_conflict,negative,1.0,0.0,0.0,聪明,negative,评论明确表达了对Ross角色的厌恶，并进行了负面比较。,9,negative,0.3905056966562885,0.4464257815187011,0.1630685218250104,neutral,0.4464257815187011,0.9093009179413866,0.061361428282346024,0.029337653776267396,negative,0.9093009179413866
让瑞秋和乔伊在一起吧。,weighted_merge,positive,0.07941711568191158,0.3558676492961711,0.5647152350219173,乔伊,"","",9,positive,0.032046447584273205,0.28407762643239004,0.6838759259833368,positive,0.6838759259833368,0.15047311782836914,0.46355268359184265,0.3859741985797882,neutral,0.46355268359184265
Joey和Rachel的感情线仍然让我非常迷惑，Mike的出现也毫无征兆。第九季有点收尾前的无力感，但欢笑和泪水都是真的。,weighted_merge,neutral,0.4823504117752697,0.3356159090909977,0.18203367913373258,迷惑,neutral,评论同时包含对剧情迷惑的轻微吐槽和对情感真实性的肯定，整体褒贬不明显。,9,negative,0.33204288240390534,0.4610686602221299,0.20688845737396477,neutral,0.4610686602221299,0.7078117058323163,0.14743678239429953,0.1447515117733843,negative,0.7078117058323162
难道只有我觉得Rach同办公室的那个Gavin特别帅吗？？居然是最好朋友婚礼里的男主...完全没认出来...,weighted_merge,positive,0.47684669119898565,0.36203086529422407,0.16112244350679034,朋友,positive,评论以惊喜和赞赏的语气表达了对演员的喜爱和意外发现，整体情绪积极。,9,negative,0.48135679678333626,0.37673312275844034,0.14191008045822343,negative,0.48135679678333626,0.47008153282245974,0.33997747909789966,0.18994098807964066,negative,0.47008153282245974
最后两集真的太爆笑！ 也算是给磕J&R cp的粉丝发糖了 虽然最终没有在一起 但是结局已经不重要了～,weighted_merge,neutral,0.342067768520133,0.4245861097877557,0.23334612169211133,算是,"","",9,neutral,0.37671248248437583,0.4735436385794935,0.14974387893613056,neutral,0.47354363857949355,0.2901006975737686,0.35114981660014893,0.35874948582608246,positive,0.35874948582608246
看得出来编剧是真的编不下去了,weighted_merge,negative,0.5330014994921191,0.3246834377523891,0.14231506275549183,编剧,negative,评论明确表达对编剧创作能力的不满和批评,9,negative,0.43599462008484274,0.3678829585331237,0.1961224213820335,negative,0.43599462008484274,0.6785118186030333,0.2598841565812873,0.06160402481567934,negative,0.6785118186030333
老友记里出现过的客串角色最喜欢的就是菲比的科学家男友David了啊……,weighted_merge,neutral,0.15167886460847363,0.4479997080195039,0.4003214273720225,喜欢,"","",9,neutral,0.11668424954069403,0.455633337963621,0.427682412495685,neutral,0.455633337963621,0.204170787210143,0.43654926310332826,0.35927994968652877,neutral,0.43654926310332826
五星给六位主角之外的配角。,llm_override_large_gap_conflict,positive,0.0,0.0,1.0,主角,"","",9,positive,0.05865907679265394,0.2106970399289067,0.7306438832784393,positive,0.7505961882207772,0.3060806393623352,0.46061551570892334,0.23330384492874146,neutral,0.4264958478786327
你们不要乱搞好不好！,weighted_merge,negative,0.567964183086997,0.2805731859261675,0.15146263098683538,不好,negative,评论表达了对作品改编或处理方式的不满和批评。,9,negative,0.5603161889173304,0.3108841049275947,0.12879970615507486,negative,0.5603161889173304,0.5794361743414972,0.23510680742402662,0.18545701823447616,negative,0.5794361743414972
又看一季，坚持下，还有一季。,weighted_merge,neutral,0.2901345716121202,0.39859127784358905,0.3112741505442908,一季,"","",9,neutral,0.3591563045664245,0.3973635717244287,0.2434801237091468,neutral,0.3973635717244287,0.1866019721806637,0.40043283702232946,0.41296519079700683,positive,0.41296519079700683
joey别太可爱了,weighted_merge,positive,0.13232428611217295,0.20042176805708425,0.6672539458307428,可爱,"","",9,positive,0.024767488319056976,0.18879967649878185,0.7864328351821611,positive,0.7864328351821612,0.2936594828018469,0.21785490539453783,0.48848561180361527,positive,0.48848561180361527
后面开始肥皂剧了，Rach为什么不跟Gavin谈一段啊！最后一集JR俩演员演得不情不愿的。,weighted_merge,negative,0.5096020531396133,0.33748164685215354,0.1529163000082332,演员,negative,评论明确表达了对剧情走向和演员表演的不满与批评。,9,negative,0.5452161346537919,0.3494237977902608,0.10536006755594729,negative,0.5452161346537919,0.4561809308683452,0.3195684204449928,0.224250648686662,negative,0.4561809308683452
Joey在咖啡馆随口大喊了一声“Mike”，于是Mike欣然走进了Phoebe的生命中。Mike的美好在于温柔的理解和欣赏，Phoebe的妙不可言在于苦难之后只留下了童真和善良，没有留下一丝怨怼。真是天作之合，冰山都融化了。,weighted_merge,positive,0.1490352465157618,0.32553501708776666,0.5254297363964715,mike,"","",9,positive,0.07327200938773061,0.3177846334951865,0.608943357117083,positive,0.6089433571170829,0.2626801022078086,0.3371605924766371,0.4001593053155544,positive,0.4001593053155544
莫妮卡和钱德勒越到后面越喜欢他们俩。,weighted_merge,positive,0.06520756278601392,0.26599692843080713,0.668795508783179,钱德勒,"","",9,positive,0.07596287409098607,0.33494525792835167,0.5890918679806623,positive,0.5890918679806623,0.04907459582855568,0.16257443418449036,0.788350969986954,positive,0.788350969986954
珍妮丝，每次出场都很无敌。另外这个剧情走向实在是·······,weighted_merge_forbid_positive,neutral,0.4935282074795951,0.5064717925204049,0.0,出场,"","",9,neutral,0.2504689724673484,0.40294282700206596,0.34658820053058564,neutral,0.40294282700206596,0.4358767007608444,0.22845093702303523,0.3356723622161204,negative,0.4358767007608444
看一季少一季啊…只剩下最后一季了,weighted_merge,neutral,0.39084545405632065,0.4215035352860091,0.1876510106576702,剩下,"","",9,neutral,0.4063619015915103,0.4318929838055905,0.16174511460289925,neutral,0.4318929838055905,0.3675707827535363,0.40591936250663707,0.22650985473982665,neutral,0.40591936250663707
终于磕完第九季,weighted_merge,positive,0.17846532653847502,0.34531086135956257,0.4762238121019624,第九,"","",9,positive,0.20374913891776114,0.33464839584601513,0.4616024652362237,positive,0.4616024652362237,0.14053960796954584,0.3613045596298838,0.4981558324005704,positive,0.4981558324005704
Joey和rachael虽然感人，但真的磕不起来,weighted_merge,neutral,0.45018525623779954,0.36546968969271193,0.18434505406948853,感人,neutral,评论客观描述了对剧中CP的感受，既承认感人之处也表达了个人偏好，整体褒贬不明显,9,negative,0.4582049421020404,0.4137271428152227,0.12806791508273685,negative,0.4582049421020404,0.4381557274414382,0.2930835100089458,0.268760762549616,negative,0.4381557274414382
每个人都找到最终归宿了，真好，真好真好。要是我能早点刷这部剧，也不至于有那么多遗憾。I really want to use a if ball.,weighted_merge,positive,0.2906362191481791,0.3300453957368557,0.3793183851149651,早点,"","",9,positive,0.30464139155084463,0.31186366950812494,0.38349493894103037,positive,0.38349493894103037,0.2696284605441809,0.3573179850799519,0.3730535543758672,positive,0.3730535543758672
第九季拖了半年才看完，反复地打开被恶心到关闭，到底为什么要加乔伊和瑞秋的线呢？爱面子又不甘寂寞的瑞秋和罗斯二人游戏人生与感情的态度注定了他们分分又合合，错过又伤心，害人又害己，纠结又缠绕的关系。,weighted_merge,negative,0.5559820267630319,0.2047255569025447,0.23929241633442344,感情,negative,评论明确表达了对剧情安排的不满和厌恶情绪,9,negative,0.3948029162370189,0.24971699058129507,0.35548009318168605,negative,0.3948029162370189,0.7977506925520513,0.1372384063844192,0.06501090106352952,negative,0.7977506925520513
Joey和Rachel，好吧，这可不是我期待的……,llm_override_pos_neg_conflict,negative,1.0,0.0,0.0,joey,negative,评论明确表达了对剧情发展的失望和不满,9,negative,0.10852756870464703,0.34065421874521823,0.5508182125501347,positive,0.5508182125501347,0.38382588673156837,0.332520355805148,0.28365375746328364,negative,0.38382588673156837
10/10.寻求突破，成功引入保罗鲁德。珍妮丝每次出现都会掀起一波小高潮。乔伊和瑞秋的恋情总让我觉得别扭。钱德勒和莫妮卡的婚姻趋于完美。乔伊的搞笑效果超过钱德勒。,weighted_merge,positive,0.2083750866457238,0.28799564490663787,0.5036292684476383,珍妮,"","",9,positive,0.16821340093599355,0.3027828567889653,0.5290037422750411,positive,0.5290037422750411,0.2686176152103191,0.26581482708314663,0.4655675577065342,positive,0.4655675577065342
爱死了这部的乔伊,weighted_merge,positive,0.1905856534644951,0.2459477177105381,0.5634666288249668,爱死,"","",9,positive,0.2199141585820478,0.2672282186689095,0.5128576227490427,positive,0.5128576227490427,0.14659289578816606,0.21402696627298098,0.639380137938853,positive,0.639380137938853
菲比迈克,weighted_merge,neutral,0.194872076066192,0.48262483954689406,0.32250308438691405,迈克,"","",9,neutral,0.21653253932394206,0.3824840346719037,0.40098342600415426,positive,0.40098342600415426,0.16238138117956688,0.6328360468593794,0.20478257196105373,neutral,0.6328360468593794
我觉得在本季大结局的时候重新唤醒Joey和Rachael的感情线明显是为了让最终季的开头更吸引人吧？,weighted_merge,positive,0.10184145548918527,0.3998219735996639,0.49833657091115086,感情,"","",9,positive,0.05622673507288175,0.4199899359046288,0.5237833290224894,positive,0.5237833290224895,0.17026353611364053,0.3695700301422165,0.46016643374414296,positive,0.46016643374414296
我还挺萌乔伊和瑞秋这对的。,weighted_merge,positive,0.165895369042951,0.3364529167035845,0.4976517142534645,萌乔,"","",9,positive,0.19888868330253187,0.3157736318673735,0.48533768483009465,positive,0.48533768483009465,0.11640539765357971,0.367471843957901,0.5161227583885193,positive,0.5161227583885193
Joy Rachel你们不要搞一起啊！！！,llm_override_pos_neg_conflict,negative,1.0,0.0,0.0,joy,negative,评论表达了强烈的反对和不满情绪，使用了感叹号和否定句式。,9,negative,0.317467243448876,0.2812374463308619,0.4012953102202621,positive,0.4012953102202621,0.6266732122499762,0.25775330874691443,0.11557347900310935,negative,0.6266732122499762
这一季真的是明显鸡肋了，我宣布美国甜心是joey,weighted_merge,positive,0.21332837568815693,0.3073902620132899,0.4792813622985532,joey,"","",9,positive,0.16200856743746572,0.30541920881406065,0.5325722237484737,positive,0.5325722237484737,0.2903080880641937,0.3103468418121338,0.3993450701236725,positive,0.3993450701236725
该最后一季了，找工作是否也已到尾声?,weighted_merge,positive,0.26193640507644905,0.36577371351984195,0.372289881403709,尾声,"","",9,positive,0.17568975368835585,0.34579494791191184,0.4785152983997323,positive,0.4785152983997323,0.3913063821585888,0.3957418619317371,0.21295175590967405,neutral,0.3957418619317371
Joey的确不会演戏 脑袋空空 如果他试镜过了才恐怖。每个人都有变化 九年了 只有Joey还是个傻子 仍旧没有演技。Joey和瑞秋的感情戏真是多余 爱来爱去都在这个圈里 真的服了。因为考虑当时第九季收视率吗 从没想过看老友记还会快进。一到瑞秋Joey就??。,weighted_merge,negative,0.4600978065827017,0.27452867076820964,0.2653735226490886,多余,negative,评论明确批评Joey的演技和角色发展，表达对感情戏的不满和观看时的负面体验。,9,negative,0.3914100169270937,0.2912974305153879,0.31729255255751837,negative,0.3914100169270937,0.5631294910661138,0.24937553114744224,0.18749497778644397,negative,0.5631294910661138
Rachel和Joey在一起看着很别扭，特此少打一星。,llm_override_large_gap_conflict,negative,1.0,0.0,0.0,特此一星,negative,评论明确表达了对剧情安排的不满并因此扣分，整体情绪倾向批评。,9,negative,0.4248530548506928,0.46181309401303133,0.11333385113627586,neutral,0.46181309401303133,0.9348658079502707,0.05010676625837623,0.01502742579135306,negative,0.9348658079502707
时隔多年继续看，还是有当初的激情,weighted_merge,positive,0.17263792333614555,0.36113451367915395,0.4662275629847005,当初,"","",9,positive,0.14251177715146374,0.39313781107319756,0.4643504117753387,positive,0.4643504117753387,0.21782714261316827,0.31312956758808846,0.46904328979874327,positive,0.46904328979874327
越来越喜欢Joey,weighted_merge,positive,0.06479572299845783,0.2997790926262196,0.6354251843753226,joey,"","",9,positive,0.05655376673271519,0.26310788196635987,0.6803383513009249,positive,0.6803383513009249,0.0771586573970718,0.3547859086160091,0.5680554339869192,positive,0.5680554339869192
为什么编剧要作大死把莫妮卡写成不孕呢，结果后来怀孕了不能拍戏了大哭。第九季真的神烦罗斯，小家子气带点刻薄，还执拗过去的不对，他真的不适合瑞秋，还不如乔伊小天使。,weighted_merge,negative,0.7530229897549179,0.19370477039749354,0.05327223984758856,莫妮,negative,评论明确表达了对编剧安排和角色塑造的不满与批评。,9,negative,0.6690243786540438,0.2679036082383942,0.06307201310756191,negative,0.6690243786540438,0.879020906406229,0.08240651363614249,0.03857257995762853,negative,0.879020906406229
看过的好像都痴迷了！,weighted_merge,positive,0.5932942271061128,0.3031866327310024,0.10351914016288483,痴迷,positive,评论表达了强烈的喜爱和痴迷情绪，属于明确赞扬。,9,negative,0.5978468738416093,0.31791474118051954,0.08423838497787112,negative,0.5978468738416093,0.586465257002868,0.2810944700567266,0.1324402729404054,negative,0.586465257002868
我是多么期望Joey和Rachel在一起，可惜完全违背老友记主旨,weighted_merge,negative,0.5391227175420004,0.33179087779851035,0.1290864046594893,老友,negative,评论表达了强烈的失望和不满，认为剧情走向违背了作品主旨,9,negative,0.4591515742450087,0.4096552355741672,0.13119319018082407,negative,0.4591515742450087,0.6590794324874878,0.21499434113502502,0.12592622637748718,negative,0.6590794324874878
真好看 过了那么多年还是,weighted_merge,positive,0.06857189045020635,0.15824372467316294,0.7731843848766307,多年,"","",9,positive,0.026084555272433998,0.15329686463401568,0.8206185800935503,positive,0.8206185800935504,0.13230289321686486,0.16566401473188377,0.7020330920512513,positive,0.7020330920512513
为什么神编剧总是能在最后两集扭转乾坤啊啊啊 就是老友记没有笑点依然很好看=3= 那个摄影师到最后都没耐心了么 为什么把镜头拉这么近 晃得我有点晕,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,老友,"","",9,positive,0.48540109503117734,0.3789931935296984,0.13560571143912423,negative,0.48540109503117734,0.3588610696453175,0.22351539801107043,0.4176235323436121,positive,0.4176235323436121
为什么菲比和乔伊不在一起。。这样不就都圆满了莫。。,weighted_merge,neutral,0.5003237636694499,0.33176714829903775,0.1679090880315124,圆满,neutral,评论以疑问句形式表达对剧情安排的遗憾，但未明确表达强烈不满或赞扬，属于中性探讨。,9,negative,0.49643038510712445,0.33375297093312645,0.16981664395974905,negative,0.49643038510712445,0.506163831512938,0.3287884143479046,0.1650477541391574,negative,0.506163831512938
第九季了，真有些开始不舍了。一切都向着最该去的结局发展着。瑞秋和乔伊的感情戏来的那么突然，虽然不管是双R还是JR，都有他们美丽的样子，只不过经历了九年分分合合的他们真的不该有这个突兀的戏剧。菲比的真命迈克也出现了，他的欣赏和理解温暖着菲比，让她经历那些苦难后保留着善良和纯真，太美好了。钱莫的爱更让我明白，婚姻是两个人生活更美好的延续，他们用一切都在告诉我们生活的美好，越发不舍但更要结束，还有一季，我不知道到时我会笑还是会哭。,weighted_merge,positive,0.198516060046602,0.30101282321295153,0.5004711167404465,最该,"","",9,positive,0.1416819643146883,0.30122598023194525,0.5570920554533665,positive,0.5570920554533665,0.2837672036444725,0.30069308768446096,0.4155397086710666,positive,0.4155397086710666
我喜欢最后一集这四对的搭配~很喜欢Phoebe的Mike啊,weighted_merge,positive,0.06510283156476104,0.2679322053259022,0.6669649631093368,喜欢,"","",9,positive,0.0783807688770529,0.3298967212054512,0.5917225099174959,positive,0.5917225099174959,0.04518592559632326,0.17498543150657855,0.7798286428970982,positive,0.7798286428970982
这季超好看。,weighted_merge,positive,0.045507150902861566,0.14465752630653236,0.8098353227906061,好看,"","",9,positive,0.03457789468433904,0.16318325059147085,0.8022388547241902,positive,0.8022388547241902,0.06190103523064536,0.11686893987912461,0.82123002489023,positive,0.82123002489023
为什么瑞秋非要跟罗斯在一起啊……！菲比为什么不跟乔伊在一起，放过可爱的麦克呢！！,weighted_merge,negative,0.43039348437925284,0.32945600033212685,0.24015051528862028,非罗斯,negative,评论通过连续反问和感叹句式，明确表达了对剧情安排的不满和吐槽情绪。,9,negative,0.3733289133791786,0.34371315892053134,0.28295792770029005,negative,0.3733289133791786,0.5159903408793642,0.3080702624495201,0.17593939667111563,negative,0.5159903408793642
菲比假裝自己是鴿子講話那邊真是笑死我了！！！！monica和chandler不孕真是令我好傷心啊好傷心 joey和rachel這樣好嗎？,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,菲比,"","",9,positive,0.3220004226078021,0.30754304883934513,0.3704565285528527,positive,0.4170893782896784,0.8357850787005227,0.09910868961237508,0.0651062316871022,negative,0.7738750728708544
10；12、13,weighted_merge,neutral,0.16381592548261978,0.4194954433969928,0.41668863112038745,"","","",9,neutral,0.11380320196718434,0.3070042800359393,0.5791925179968763,positive,0.5791925179968763,0.23883501075577296,0.588232188438573,0.17293280080565415,neutral,0.588232188438573
看到现在，发现每个角色都有一些让我无语的缺点，比如莫妮卡的强迫症好胜心，钱德勒的尴尬笑话，还有罗斯感情上的小心眼，瑞秋的婊，乔伊的笨……哎，菲比和麦克的恋爱很甜，但是分得很莫名其妙，然后大卫明明很好，之前和菲比的恋爱也渲染得很浪漫，在麦克之前他是菲比唯一爱过的男人，结果在求婚关头他又被麦克搅黄了，真的好惨……看着他手足无措的样子我都要哭了，莫妮卡为什么要多管闲事！！,llm_override_large_gap_conflict,negative,1.0,0.0,0.0,甜分,negative,评论整体表达了对角色缺点的不满、对剧情安排的困惑与遗憾，并带有明显的负面情绪词汇如“无语”“好惨”“都要哭了”。,9,negative,0.22052711975537406,0.4665904549491303,0.3128824252954957,neutral,0.4320281990269725,0.6838767051401846,0.15837998067234949,0.157743314187466,negative,0.7072932455001708
