comment,decision_type,final_label_after_llm,final_negative,final_neutral,final_positive,keyword,llm_label,llm_reason,season,sentiment_association,star_negative,star_neutral,star_positive,star_top_label,star_top_score,topic_category,tri_negative,tri_neutral,tri_positive,tri_top_label,tri_top_score
Phoebe成为菲神之路。剧情开始现实起来了，不再是好朋友们的梦幻泡泡。赌城之旅好好笑啊！！,weighted_merge,positive,0.18845136257780395,0.36863194902772356,0.4429166883944725,剧情,"","",5,positive,0.1415275930094124,0.3534129507858453,0.5050594562047424,positive,0.5050594562047424,剧情,0.2588370169303913,0.3914604463905409,0.3497025366790678,neutral,0.3914604463905409
已經快被CM這對兒煩死了……,weighted_merge,negative,0.7019503944059344,0.1706880529969149,0.12736155259715068,cm,negative,评论明确表达了对剧中角色的强烈不满和厌烦情绪,5,negative,0.5650702583412062,0.241541339892586,0.1933884017662078,negative,0.5650702583412062,演员,0.9072705985030267,0.06440812265340824,0.028321278843565,negative,0.9072705985030267
这一季乔伊真的很可爱，继为了菲比吃素后又给莫妮卡和小钱打掩护。罗斯深陷朋友和恋人/妻子二选一中也是每个人的困境，其实现实里单身时认识的朋友，在一方结婚后也就慢慢疏远了。小钱这样从朋友变情侣，还是让人有点儿意外，太熟的人在一起难有心动，何况俩人有过难忘的感恩节事件。,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,罗斯,"","",5,positive,0.18756774395104786,0.30349192529631835,0.5089403307526337,positive,0.5089403307526338,剧情,0.5356513098457591,0.2128705702270911,0.25147811992714975,negative,0.5356513098457591
CM的恋情成了主线 最后一集难道又是个逆转？,weighted_merge,neutral,0.423151719680326,0.42062257554396537,0.15622570477570863,集逆转,neutral,评论主要描述剧情发展并提出疑问，未表达明确褒贬情绪。,5,negative,0.3218781979752661,0.474590653205475,0.20353114881925888,neutral,0.474590653205475,剧情,0.5750620022379158,0.3396704590517009,0.08526753871038326,negative,0.5750620022379158
这季好好笑，尤其是Vegas那段,weighted_merge,positive,0.07095515372773517,0.2666710543021632,0.6623737919701016,vegas,"","",5,positive,0.03734931992254644,0.29116172839821675,0.6714889516792368,positive,0.6714889516792368,剧情,0.12136390443551826,0.22993504315808286,0.6487010524063989,positive,0.6487010524063989
"十年前的电视剧, 没有gossipgirl的华丽和fashion, 没有vamprie 那么多的美女帅哥, 没有harry porter的高级特效. 第十三遍看,每集的剧情是什么,台词是什么,甚至可能会发生的表情是什么都清清楚楚,但是还是期待那些场景那些台词那些表情, 每次看还是会捧腹大笑. 这才是经典.可惜没有六星.",weighted_merge,neutral,0.29803598337210946,0.4240661804980349,0.27789783612985564,fashion,"","",5,neutral,0.2405146823940411,0.47960735556890327,0.2798779620370556,neutral,0.47960735556890327,情怀,0.3843179348392119,0.34075441789173244,0.2749276472690557,negative,0.3843179348392119
跟我八字不合的神剧，来来回回多少年，无论怎么看都欣赏不来,weighted_merge,negative,0.5514720319260844,0.23542764711502845,0.21310032095888706,合神,negative,评论明确表达了对剧集的不喜欢和无法欣赏，整体情绪倾向为批评和否定,5,negative,0.43531139843629896,0.27431890777228635,0.2903696937914147,negative,0.43531139843629896,剧情,0.7257129821607627,0.17709075612914163,0.09719626171009563,negative,0.7257129821607627
真的没人关心艾米丽这个人吗，不会因为瑞秋是主角吧。热吻连连也太逗了。看来这季钱莫秘恋或成最大看点。不会只有我一个人觉得胖莫妮卡更好看吗。罗斯简直是被爱情公寓拆成了展博和张伟啊。钱德勒认真的时候真像小李子。,weighted_merge,positive,0.4522731152681336,0.3187375504181794,0.22898933431368695,爱情,positive,评论整体以轻松幽默的口吻调侃角色和剧情，表达了对剧集内容的喜爱和趣味性观察，情绪倾向积极。,5,negative,0.469280275014336,0.2888098209051913,0.2419099040804727,negative,0.469280275014336,演员,0.4267623756488299,0.36362914468766167,0.20960847966350837,negative,0.4267623756488299
★★★★★ 好看的不像话,weighted_merge,positive,0.12354958531516008,0.23860523450670545,0.6378451801781344,像话,"","",5,positive,0.05651170034741462,0.25044657589335967,0.6930417237592257,positive,0.6930417237592257,剧情,0.22410641276677828,0.2208432224267241,0.5550503648064976,positive,0.5550503648064976
Monica＆Chandler 这对couple 越发证实深爱彼此;结尾上演史上最强Lasvegas Hanover;爆笑的一季接吻Chandler/养猫Rachel/皮裤Ross/感恩节 很巅峰的一季,weighted_merge,positive,0.07434740909442163,0.24429943273255184,0.6813531581730266,chandler,"","",5,positive,0.05995023466185803,0.19201353971174825,0.7480362256263937,positive,0.7480362256263937,情怀,0.095943170743267,0.3227282722637571,0.5813285569929758,positive,0.5813285569929759
祝福小钱钱和莫妮卡！真是为Rachel和Ross操碎了心。。,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,莫妮,"","",5,positive,0.18378152408099516,0.2527379060435807,0.5634805698754242,positive,0.5634805698754242,剧情,0.625985936748769,0.12277518796165539,0.2512388752895756,negative,0.625985936748769
刚觉得自己更像莫妮卡，结果她和钱德勒搞在了一起。看来菲比跟定乔伊了。在一个特定的地方人们才敢发平时不敢发的疯，罗斯和瑞秋认命吧。,weighted_merge,positive,0.43532465376357354,0.3424974781020793,0.2221778681343472,跟定,positive,评论以幽默和喜爱的方式解读角色关系，整体表达了对剧情的认可和喜爱。,5,negative,0.3582184934314638,0.35673441624226643,0.28504709032626974,negative,0.3582184934314638,剧情,0.550983894261738,0.3211420708917985,0.12787403484646337,negative,0.5509838942617381
钱德勒和莫妮卡谈恋爱比罗斯瑞秋这对儿好看多了,weighted_merge,positive,0.09554282752671331,0.34687197825137916,0.5575851942219076,罗斯,"","",5,positive,0.05833911295052122,0.32797124643607767,0.6136896406134011,positive,0.6136896406134011,剧情,0.15134839939100145,0.37522307597433147,0.4734285246346671,positive,0.4734285246346671
Joey和Monica顶火鸡那段实在太逗了~,weighted_merge,positive,0.1786197940073062,0.28373137247012603,0.5376488335225678,那段,"","",5,positive,0.2427902423919701,0.35864401819342345,0.3985657394146064,positive,0.3985657394146064,剧情,0.08236412143031034,0.17136240388517984,0.7462734746845098,positive,0.7462734746845098
真的很爱这一季，大家都长到了30上下的年纪，莫妮卡和钱钱在这一季里进入恋爱状态，瑞秋有了更适合自己的工作，菲比这季的警官男朋友gary除了杀鸟之外真的一切都很好，几乎就要融入六人帮了，joey交了个爱打人的女朋友kathy，火速分手，但是非常可爱那集！还有几个人玩抛球游戏玩了一整集。,weighted_merge,positive,0.08759475350312719,0.23235931567085544,0.6800459308260174,莫妮,"","",5,positive,0.03673759563455551,0.21057903579761636,0.752683368567828,positive,0.7526833685678281,剧情,0.1638804903059847,0.26502973548071396,0.5710897742133013,positive,0.5710897742133013
"10/10.
钱德勒和莫妮卡的恋情半季秀隐瞒，半季秀恩爱，让他俩笑死了，最后一集被罗斯和瑞秋抢了风头。
钱德勒这一季胖多了。",weighted_merge,positive,0.26329316720164003,0.3110631367178888,0.42564369608047115,半季,"","",5,positive,0.21134497500502641,0.3651583596003452,0.42349666539462827,positive,0.46620061610613733,演员,0.39387408893688847,0.29213292973778193,0.3139929813253296,positive,0.36480831604197184
看完五季了：）,llm_override_large_gap_conflict,positive,0.0,0.0,1.0,五季,"","",5,positive,0.0356244909716808,0.20215125771499234,0.7622242513133268,positive,0.7622242513133268,剧情,0.22052062214972443,0.4166904216018445,0.3627889562484311,neutral,0.4166904216018445
越来越爱Chandler了 ??,weighted_merge,positive,0.06328495146849371,0.2037196617832701,0.7329953867482362,chandler,"","",5,positive,0.033622067432968715,0.19767493950421683,0.7687029930628144,positive,0.7687029930628144,演员,0.1077792775217812,0.21278674520185006,0.6794339772763688,positive,0.6794339772763688
我想看下去 可是受不了罗斯和乔伊两个二货了哈哈哈,weighted_merge,positive,0.493818041960126,0.31368706463987217,0.19249489340000175,受不了,positive,评论以轻松调侃的语气表达对剧情的喜爱，整体情绪是积极的。,5,negative,0.5366621085754741,0.31773990177587036,0.14559798964865545,negative,0.5366621085754741,演员,0.42955194203710384,0.30760780893587497,0.2628402490270212,negative,0.42955194203710384
乔伊瘦了一点，但是钱德勒胖了。拿一些仔细想下很无聊的事情重复地讲，比较难笑的一季。,weighted_merge,negative,0.364514380279494,0.33707728299849665,0.2984083367220093,钱德勒,negative,评论明确批评本季笑点不足且内容无聊，整体表达不满。,5,negative,0.17276089729542884,0.42077732104314747,0.4064617816614237,neutral,0.3896086305955069,演员,0.5250474808114907,0.27894268253121984,0.19600983665728955,negative,0.5602291488995284
很喜欢这一季，尤其喜欢菲比和乔伊，菲比依旧是最怪但看事情最清楚的，乔伊依旧能用最智障的方式说出最dirty的话，乔伊回在菲比怀孕期间坚持不吃肉，在菲比不高兴的时候给她唱歌，菲比会在乔伊没拍成电影的时候陪他开车回家，能理解乔伊的双胞手兄弟，会在有人嘲笑乔伊的时候说能和他在一起是你走运了，最好的友情也就是这样吧。顺便说说罗斯前妻艾米莉，金白色的头发，长的好看，一口英伦腔，性格体贴，在罗斯打橄榄球的时候悄悄让其他人放水，跟其他那帮人都相处的很好，在罗斯伤害她以后还给罗斯机会，相反，罗斯性格怯懦，极缺安全感，很自私，缺点一堆，罗斯配不上她。,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,依旧,"","",5,positive,0.19853493357366608,0.325735459907449,0.4757296065188849,positive,0.4757296065188849,演员,0.4806446455688748,0.2556179257710569,0.2637374286600683,negative,0.4806446455688748
钱德勒和莫尼卡的爱情浮出水面，罗斯的第三次婚礼。,weighted_merge,neutral,0.15232178246574368,0.4379512728104782,0.40972694472377813,水面,"","",5,neutral,0.17664119482154272,0.3654356428041022,0.4579231623743551,positive,0.4579231623743551,剧情,0.11584266393204509,0.5467247178200422,0.3374326182479127,neutral,0.5467247178200422
依旧可爱,weighted_merge,positive,0.09430130805320319,0.2755211560208021,0.6301775359259947,可爱,"","",5,positive,0.03170463771728285,0.2843956126125301,0.6838997496701871,positive,0.6838997496701871,情怀,0.18819631355708372,0.2622094711332102,0.5495942153097061,positive,0.5495942153097061
时隔半年重新开始看friends，各种感觉比上次美好,weighted_merge,positive,0.07803640899725131,0.2536444111126692,0.6683191798900796,friends,"","",5,positive,0.088816205243061,0.3072018116475029,0.6039819831094362,positive,0.6039819831094362,情怀,0.06186671462853678,0.17330831031041874,0.7648249750610445,positive,0.7648249750610445
monica的小哑嗓儿有时真好听,weighted_merge,positive,0.11310449814893403,0.2983323135190994,0.5885631883319666,好听,"","",5,positive,0.09642678185225048,0.3301566256652754,0.5734165924824741,positive,0.5734165924824741,演员,0.13812107259395934,0.25059584529983536,0.6112830821062053,positive,0.6112830821062053
多么经典的六人啊,weighted_merge,positive,0.26797113454010396,0.33135301240407855,0.40067585305581743,经典,"","",5,positive,0.27323993622839166,0.336040549101258,0.3907195146703503,positive,0.3907195146703503,情怀,0.2600679320076724,0.3243217073583094,0.4156103606340182,positive,0.4156103606340182
不好评价，不喜欢所有美剧，都那么无聊。不过也不是为了看剧情而看，也就凑合了。,weighted_merge,negative,0.5382243092030762,0.3216669900691311,0.1401087007277927,美剧,negative,评论明确表达了对美剧整体的不喜欢和无聊感，整体情绪倾向批评和否定。,5,negative,0.4534148768332999,0.41348363728940857,0.1331014858772916,negative,0.4939026637345369,剧情,0.5730833195983559,0.24827541725254115,0.17864126314910295,negative,0.604706777405885
这一季温馨从容,weighted_merge,positive,0.12180786466544197,0.2654214152630267,0.6127707200715313,从容,"","",5,positive,0.07147617893630533,0.25416283241156984,0.6743609886521249,positive,0.6743609886521249,情怀,0.19730539325914692,0.282309289540212,0.5203853172006411,positive,0.5203853172006411
经典就是经典 挺好的,weighted_merge,positive,0.03539326758610897,0.1813823296821894,0.7832244027317017,经典,"","",5,positive,0.020123279655211785,0.18900783689237902,0.7908688834524092,positive,0.7908688834524092,情怀,0.05829824948245476,0.16994406886690497,0.7717576816506403,positive,0.7717576816506403
这千万是我最后一次看这剧了...已经面无表情了,weighted_merge,negative,0.628074344004353,0.1758388029200968,0.19608685307555015,无表情,negative,评论明确表达了对剧集的不满和失望，表示不会再观看，情绪倾向为负面。,5,negative,0.6172942133046255,0.17337275425622428,0.20933303243915016,negative,0.6172942133046255,剧情,0.6442445400539443,0.17953787591590553,0.17621758403015017,negative,0.6442445400539443
双R抓马一过终于又恢复了原先的精彩与好看，钱德勒和莫妮卡的恋情接棒又来了出致命核爆。扎入不厌其烦的日常生活之中，不遗余力的挖掘着那些潜在深刻的人生感悟，汲取着快乐与幸福的因子再缔造一座通天的堡垒，如金耀眼的情谊还在书写一个又一个让人动容的神话，笑泪交织神经兮兮才是老友不言自明的存在意义，这一季看下来越发觉得大家都更可爱与迷人了呢……,weighted_merge,positive,0.2528935164370847,0.3015831005812349,0.4455233829816804,耀眼,"","",5,positive,0.26467482277077786,0.29681158604815294,0.43851359118106903,positive,0.43851359118106914,剧情,0.23522155693654487,0.3087403723808577,0.4560380706825974,positive,0.4560380706825974
钱德勒开始发福了。,weighted_merge,positive,0.1443929802545103,0.2442494502165053,0.6113575695289843,发福,"","",5,positive,0.16069605813467588,0.288685601036036,0.5506183408292881,positive,0.5506183408292881,演员,0.1199383634342619,0.17759522398720926,0.7024664125785288,positive,0.7024664125785288
我超爱第五季呀，钱德勒和莫妮卡，两个人最甜了。感觉这一季最轻松最自由，最后的拉斯维加斯之旅简直不要太欢乐。不是恋人的罗斯和瑞秋互怼互相戏弄真的太好玩太放松了，乔伊一季比一季弱智哈哈，菲比依旧毒舌，太爱这六个人了，大爱第五季！,weighted_merge,positive,0.12705531552029442,0.2414303731917758,0.6315143112879298,拉斯维加斯,"","",5,positive,0.13372973712127587,0.2893216924911636,0.5769485703875605,positive,0.5769485703875605,剧情,0.1170436831188222,0.16959339424269415,0.7133629226384837,positive,0.7133629226384837
莫妮卡和菲比在这季美爆了！！亲爱的Joey被编剧写的越来越傻，真不能忍受！萌和傻是两个概念好吗？？第一二季那个在感情方面洞若观火的Joey呢？老钱开始发福了。。。,weighted_merge,neutral,0.3582352591845721,0.32881224744629955,0.3129524933691283,亲爱,neutral,评论同时包含对角色外貌的赞美和对角色塑造的不满，整体褒贬参半，情绪倾向不明显。,5,negative,0.2763015495718702,0.376971933304402,0.3467265171237278,neutral,0.376971933304402,演员,0.48113582360362506,0.256572718659146,0.26229145773722895,negative,0.48113582360362506
第五季真的无趣。把每个人的缺点都放到不可理喻的最大。,llm_override_pos_neg_conflict,negative,1.0,0.0,0.0,无趣,negative,评论明确表达了对剧情和角色塑造的不满与批评,5,negative,0.2742086746371406,0.27604216287088473,0.4497491624919747,positive,0.4497491624919747,剧情,0.7504997623157996,0.16275424382330658,0.08674599386089381,negative,0.7504997623157996
Joey还是好可爱啊啊啊啊 monica的头发没有第四季的好看啦 这季好多好好笑的地方欧！！！,weighted_merge,positive,0.1297155483370519,0.30469405755472145,0.5655903941082266,头发,"","",5,positive,0.10697247153780307,0.36700372858733316,0.5260237998748638,positive,0.5260237998748638,演员,0.1638301635359252,0.21122955100580382,0.624940285458271,positive,0.624940285458271
加入了新感情线以后故事简直焕然一新~~,weighted_merge,positive,0.06506134635176346,0.2311271058481908,0.7038115478000457,故事,"","",5,positive,0.05466776859012148,0.2711207183696129,0.6742115130402656,positive,0.6742115130402656,剧情,0.08065171299422642,0.1711366870660577,0.7482115999397159,positive,0.7482115999397159
这一季里大家明显都变老了……最后一集chandler和monica打算结婚的时候发现ross和rachel真的结婚了！！看得我好想去vagas啊……,weighted_merge,neutral,0.22043761739928885,0.419420406148667,0.3601419764520442,打算,"","",5,neutral,0.149255291395086,0.3832732236378351,0.4674714849670789,positive,0.4674714849670789,剧情,0.3272111064055931,0.4736411799149148,0.19914771367949222,neutral,0.4736411799149148
浩大工程第五步~大爱Joey啊~,weighted_merge,positive,0.05067361720255868,0.15102967413523333,0.798296708662208,第五,"","",5,positive,0.04874833219675962,0.16768340113597965,0.7835682666672608,positive,0.7835682666672608,情怀,0.053561544711257264,0.12604908363411388,0.8203893716546289,positive,0.8203893716546289
瑞秋和罗斯就这么结婚了？？根本停不下来嘛，赶紧开启第六季,weighted_merge,positive,0.29060408598397225,0.3053444460006728,0.40405146801535496,结婚,"","",5,positive,0.31424941602875406,0.28760566838800383,0.39814491558324205,positive,0.4427267736881871,剧情,0.3132569081135939,0.3930215016198108,0.29372159026659517,neutral,0.3639087977961212
创意开始枯竭。,weighted_merge,negative,0.7558366533286753,0.2240140287268359,0.020149317944488827,枯竭,negative,评论直接指出作品创意枯竭，表达了对内容质量下降的明确不满和批评。,5,negative,0.6673508257845849,0.3123727049867054,0.02027646922870966,negative,0.6673508257845849,剧情,0.8885653946448108,0.09147601433703165,0.019958591018157577,negative,0.8885653946448108
已经舍不得看下去但是又发会瘾了,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,发会,"","",5,positive,0.5526232414338476,0.3278597649612988,0.11951699360485366,negative,0.5526232414338476,剧情,0.29481031172825495,0.23815721698892636,0.4670324712828187,positive,0.4670324712828187
all start from london；这一季开始越来越爱PHOEBE了,weighted_merge,positive,0.17214185752549327,0.36624212210943907,0.4616160203650676,start,"","",5,positive,0.23583237061735654,0.2754770133051867,0.48869061607745673,positive,0.48869061607745673,演员,0.07660608788769843,0.5023897853158177,0.4210041267964839,neutral,0.5023897853158177
姑娘里最爱Monica,weighted_merge,positive,0.04679750011702241,0.1742914782659207,0.7789110216170569,monica,"","",5,positive,0.02846804638769607,0.14185042069806963,0.8296815329142343,positive,0.8296815329142343,演员,0.07429168071101193,0.2229530646176973,0.7027552546712907,positive,0.7027552546712907
拉斯维加斯之旅,weighted_merge,positive,0.16358037606953432,0.3818192397783068,0.45460038415215887,维加斯,"","",5,positive,0.10747637624079447,0.3063404667596206,0.5861831569995849,positive,0.5861831569995849,剧情,0.24773637581264413,0.49503739930633606,0.2572262248810198,neutral,0.49503739930633606
莫妮卡和钱德终于明确关系了,weighted_merge,positive,0.10941281718170912,0.3416536065508693,0.5489335762674217,莫妮卡,"","",5,positive,0.0667561804261519,0.31188601636801677,0.6213578032058313,positive,0.6213578032058313,剧情,0.17339777231504494,0.3863049918251481,0.44029723585980696,positive,0.44029723585980696
真是越来越爱chandler了呀,weighted_merge,positive,0.08320324867778496,0.17091147923343514,0.7458852720887799,chandler,"","",5,positive,0.041528500613462194,0.17601713577696237,0.7824543636095753,positive,0.7824543636095754,演员,0.1457153707742691,0.16325299441814423,0.6910316348075867,positive,0.6910316348075867
嫁人当嫁Chandler,weighted_merge,neutral,0.16468472352286045,0.4309298839855839,0.4043853924915556,chandler,"","",5,neutral,0.1653816396799928,0.30737851124075816,0.527239849079249,positive,0.527239849079249,演员,0.16363934928716198,0.6162569431028225,0.22010370761001546,neutral,0.6162569431028225
Fibee 是這樣一個女孩子---孤兒，善良，素食主義，偶爾神經卻每次都為朋友兩肋插刀，她可以為了自己的弟弟代孕十月，還能忍受和剛生下的孩子們分離。用一句中國的古話我只能說，積善之家，必有余慶。,weighted_merge,positive,0.17765811952873084,0.34962443791440784,0.4727174425568613,fibee,"","",5,positive,0.13225243520615648,0.3369485641749557,0.5307990006188877,positive,0.5307990006188877,剧情,0.24576664601259235,0.368638248523586,0.3855951054638216,positive,0.3855951054638216
这季超精彩超好看！,weighted_merge,positive,0.022622446517350365,0.09104965947960983,0.8863278940030398,精彩,"","",5,positive,0.009945999087411936,0.09154189802123518,0.898512102891353,positive,0.898512102891353,剧情,0.04163711766225801,0.09031130166717181,0.8680515806705702,positive,0.8680515806705702
真的是，不舍得看。,llm_override_pos_neg_conflict,positive,0.0,0.0,1.0,舍得,"","",5,positive,0.41124529773334395,0.30628538178543613,0.2824693204812199,negative,0.41124529773334395,情怀,0.372185165104491,0.24974669143935008,0.3780681434561589,positive,0.3780681434561589
后面几集都是来长情商的。一如既往的喜欢，就是觉得笑点没有1-4亮,weighted_merge,neutral,0.28559598541550507,0.3945956955512775,0.3198083190332175,几集,"","",5,neutral,0.2932387653100363,0.44928917892065656,0.2574720557693072,neutral,0.44928917892065656,剧情,0.27413181557370825,0.31255547049720883,0.4133127139290829,positive,0.4133127139290829
温馨的爱情，温暖的友情。老友们，你们还好么？,weighted_merge,positive,0.12173593464347278,0.29034800435778496,0.5879160609987423,友情,"","",5,positive,0.07593996869583945,0.2473058929843158,0.6767541383198448,positive,0.6767541383198448,情怀,0.19042988356492277,0.3549111714179887,0.4546589450170886,positive,0.4546589450170886
明明戏份平均，一直都感觉ross没有存在感，好奇怪,weighted_merge,neutral,0.6061815245370479,0.2877329991240086,0.10608547633894347,平均,neutral,评论客观描述角色存在感问题，未明确表达强烈喜爱或批评,5,negative,0.5417220272419818,0.3458352393625428,0.11244273339547539,negative,0.5417220272419818,演员,0.702870770479647,0.20057963876620744,0.09654959075414558,negative,0.702870770479647
似乎变成了爱情故事集,weighted_merge,neutral,0.15497267528667738,0.4359350225889117,0.40909230212441094,故事,"","",5,neutral,0.08454695080156868,0.360418924774723,0.5550341244237083,positive,0.5550341244237084,剧情,0.26061126201434043,0.5492091693101947,0.19017956867546487,neutral,0.5492091693101947
最棒的一季结尾，特别期待下一季的瑞秋罗斯以及钱钱Mon,weighted_merge,positive,0.06694317882967107,0.2973971696199753,0.6356596515503536,特别,"","",5,positive,0.08787253626563762,0.3776350852446858,0.5344923784896766,positive,0.5344923784896766,剧情,0.035549142675721235,0.1770402961829095,0.7874105611413693,positive,0.7874105611413693
钱莫线真是两个纠结的人互相治愈。Ross married Raquel or divorce it self? G doggy... Nice glasses~,weighted_merge,positive,0.3738998010379224,0.29464574269815547,0.3314544562639221,married,positive,评论整体表达了对角色关系和细节的喜爱与认可，语气积极。,5,negative,0.4720328388553808,0.2558074506282346,0.27215971051638466,negative,0.4370674433846118,剧情,0.3014802045193194,0.41183232934266784,0.28668746613801277,neutral,0.38132623087284057
第五季钱德勒和莫妮卡的感情戏太甜了，从偷偷摸摸到被朋友逐渐发现再到正大光明发糖，谁能不爱呢？第5季第14集可以封神了，笑点和节奏把握的太棒了，罗斯和瑞秋这季没有作妖，最后喝醉酒一起摇摇晃晃还是有点甜呢。搞笑担当乔伊依旧为我们贡献太多笑点，菲比女神也好美，这一季的颜值都感觉到达了巅峰。老友记，六人行，继续开心下去吧！,weighted_merge,positive,0.11217575138979274,0.21205632964356053,0.6757679189666466,感情,"","",5,positive,0.14373569313202472,0.27569471703221304,0.5805695898357622,positive,0.6116385091071872,剧情,0.08727098905440335,0.159010014489294,0.7537189964563027,positive,0.7719620337558357
导演是个昆汀迷,weighted_merge,neutral,0.4688222724508967,0.3757521420497575,0.15542558549934588,昆汀,neutral,评论仅客观描述导演风格倾向，未表达明确褒贬态度,5,negative,0.5924654333660816,0.3080814265918944,0.09945314004202396,negative,0.5924654333660816,剧情,0.28335753107811934,0.477258215236552,0.23938425368532873,neutral,0.477258215236552
这季开始走下盘了。各种磨叽。chandler和monica的地下情拖拉了一半，ross的离婚又拖拉了另一半，沉闷啊。傻乎乎的joey夹在中间冒傻气，rachel也是傻妞一名。亮点是pheeb，她和警察谈恋爱那段挺好的，分了可惜啊，那警察是个可靠认真的好男人！,weighted_merge,negative,0.518826021974295,0.2705514161331557,0.21062256189254938,拖拉,negative,评论整体表达了对剧情拖拉、角色沉闷的不满，虽有亮点提及但整体批评倾向明显。,5,negative,0.45530532293365766,0.3206050393425688,0.22408963772377358,negative,0.45530532293365766,剧情,0.6141070705352509,0.19547098131903598,0.19042194814571312,negative,0.6141070705352509
属于莫妮卡跟钱德勒的一季~,weighted_merge,positive,0.07732660245622544,0.3829867081929543,0.5396866893508203,钱德勒,"","",5,positive,0.09315895159584531,0.3370749084633751,0.5697661399407795,positive,0.5697661399407795,剧情,0.053578078746795654,0.451854407787323,0.49456751346588135,positive,0.49456751346588135
Ross大概是有史以来最讨厌的屏幕nerd了,llm_override_large_gap_conflict,negative,1.0,0.0,0.0,屏幕,negative,评论明确表达了对角色的强烈不满和批评,6,negative,0.31840634589176336,0.3758605606597495,0.3057330934484871,neutral,0.3758605606597495,剧情,0.9145616701794417,0.05945800138077146,0.02598032843978681,negative,0.9145616701794417
我喜欢钱德,weighted_merge,positive,0.0892995298488485,0.27447080290273884,0.6362296672484127,钱德,"","",6,positive,0.05521799136922544,0.27335108776814504,0.6714309208626296,positive,0.6714309208626296,演员,0.14042183756828308,0.2761503756046295,0.5834277868270874,positive,0.5834277868270874
