comment,keyword,season,sentiment_association,topic_category
遥想第一季时Monica的妆发造型都很复古文艺，现在不知道为什么一直往丑角的方向拗，当然这点遗憾完全比不上Ross & Rachel的持续狗血。,造型,4,negative,剧情
Rachel太自私了，也太自我了，最后居然丢下怀孕的菲比。。。,怀孕,4,negative,演员
我再也找不到这样的电视剧了,电视剧,4,positive,情怀
这季很多爆笑点。,爆笑,4,positive,剧情
渐渐开始不喜欢ross，渐渐开始喜欢菲比,ross,4,neutral,演员
菲比无比纯真可爱。瑞秋开始招人厌。,可爱,4,neutral,演员
这婚肯定结不成,肯定,4,negative,剧情
classic sitcom,classic,4,positive,剧情
钱德和莫妮卡终于啊~,莫妮,4,positive,剧情
最后一集出现了年轻的老休大叔~!,老休,4,neutral,演员
前半段钱德勒的爱情很好，后头段的瑞秋太莫名其妙了,后头,4,positive,剧情
Ross在最后还是喊出了Rachel的名字,名字,4,neutral,剧情
chan chan和mon终于要在一起了。艾美莉太可怜了....,可怜,4,neutral,剧情
十年前老友记惊现豪斯医生,老友,4,positive,剧情
第十一集眼泪笑崩了。,眼泪,4,positive,剧情
这季收尾太戏剧性了,戏剧性,4,neutral,剧情
经典无需多讲。。。,经典,4,positive,情怀
这季最喜欢joey,joey,4,positive,演员
这季跳过了很多吗 E05JOEY'S NEW GIRLFRIEND是CRIMINAL MINDS的EMILY姐,criminal,4,neutral,演员
Rachel好多搭配现在看起来都好好看,好好,4,positive,演员
海盗的字幕太赞，一点都不像在看九七年的老剧,一点七年,4,positive,剧情
ross和rachel能不能能不能让我少捉鸡一点！！！,一点,4,negative,剧情
真是越来越不喜欢Rachel了,rachel,4,negative,演员
橄榄球、抢公寓还有Chandler的吐槽真是百看不厌，这季的客串演员应该是迄今为止最牛逼的了吧。虽然剧情相比之前没那么好笑，特别是Phoebe没那么灵了。,公寓,4,positive,剧情
小钱钱~,小钱,4,neutral,情怀
十二集开始大亮!!,大亮,4,positive,剧情
钱钱和monica~~哎呀~两人真搭~~话说我想看Phoebe和Joey一起，因为逻辑太像了~,逻辑,4,positive,演员
老友记 我生活的甜品...,甜品,4,positive,情怀
一部优秀的情景喜剧的魔力在于，即便某些角色被写得让人无法忍受，观众仍然会喜爱他们；Friends的第四季正是这种魅力的绝佳例证。,魅力,4,positive,剧情
Joey趴在酒店的床上一边思乡一边看《干杯酒吧》！现在看，果然是Lisa怀孕之后，编剧才大笔一挥改了剧本，“既然都怀孕了，干脆来个三胞胎吧！”。等到Lisa身体状况不能演戏的时候，众人“扔下Phoebe跑去了英国”。剩下Rachel和Phoebe留守的片段则是提前拍好或者补拍。编剧好流……,编剧,4,positive,剧情
如果不知道瑞秋和罗斯最终会在一起就更好了,秋罗斯,4,positive,剧情
虽然很多人都说rachel在这季里的破坏行为很讨厌，但如果事情发生在我们身上，我们也会这样做的,讨厌,4,neutral,剧情
Monica终于要和Chandler在一起了,chandler,4,positive,剧情
我似乎开始明白为什么在朱莉和皮特在一起之后大部分人几乎一边倒的支持詹妮弗·安妮斯顿了，她的确很招人喜欢～不过作为朱莉粉丝我依旧选择力挺偶像。这部剧说的不仅是六个“老友”，而是这几个人就像存在在我们身边一样，在我们身边嬉笑怒骂，发生着各种各样的故事，就像是我们的老友一样。,一边倒,4,positive,情怀
搜狐的版本真差劲。。。,差劲,4,negative,情怀
11224：记得曾经看到一则印象挺深的新闻：澳大利亚一位姐姐为自己的同性恋弟弟代孕，受精卵来自她的卵子与其弟男友的精子，最后顺利生产下宝宝。没想到在《老友记》第四季里，菲比也同意为自己的同父异母的弟弟与其高龄妻子代孕，而且人工受孕后怀的还是三胞胎！对罗斯与瑞秋的“分后合，合又分，分又彼此牵连”的感情戏有点腻了，而且感觉挺不现实的，可能是固定六人组的情景喜剧，需要制造矛盾冲突，所以编剧这么设计吧？（没看过但知道《豪斯医生》，经网友提醒才得知与瑞秋坐飞机的男子就是“豪斯医生”。）钱德勒和乔伊没能发展出基情，没想到这季竟然开始和莫妮卡有异性恋情了……,新闻,4,neutral,剧情
客串的有意思,有意思,4,positive,演员
duck和chicken真有爱~！最后一集，我就知道ross最终还是会回到rachel。。。,duck,4,positive,剧情
Ross选了Rachel却还是不肯承认自己是犯错了，结果一季又吵吵闹闹过去了，直到Ross交了个英国女友Emily要闪婚，Rachel想要去阻止却没说出口，真不想看他们俩纠缠了。Chandler终于认识了个不错的姑娘，Joey还睡过这个姑娘，但是却因为疑神疑鬼分手了。Monica整季没有男朋友直到最后一不小心和Chandler睡了。Phoebe帮她弟弟代孕，开始吃肉，而Joey代替Phoebe吃素。,一不小心,4,negative,剧情
虽然有十季，但还是嫌短。,有十季,4,positive,剧情
瑞秋和罗斯真的都太自私了 这一季真的失望  其余四个人都刻画的挺好的 尤其是菲比 钱德勒 乔伊  这季的编剧换了吗？把人物写的一点也不可爱 为了戏剧化去做一些违反道德的事情 真的平庸,可爱,4,negative,剧情
前三季觉得Phoebe最顺眼，从第四季开始对Phoebe一成不变的幽默方式搞的腻歪了，第四季开始后逐渐喜欢Joey...,phoebe,4,positive,演员
虽然我知道这剧是很多人的白月光，但这里面还是有不少性别刻板偏见。同样差二十岁的恋爱，男大女小就双方都很有魅力，女大男小就双方都是神经病。菲比弟弟跟他老婆是我最讨厌的那种喜剧角色，只会卖蠢，而且一点都不好笑。还有joey爸爸出轨那集，简直要吐了。别说这是二十年前的剧不能苛求价值观，跟它同一年代甚至还稍早一些的《欢乐一家亲》比这部高级多了，笑点精妙，两性关系探讨也比这部深刻得多。主角团的Roz是个性欲强烈的事业型女强人，最后自己生了个女儿自己养；男二是个为了钱和地位入赘的精致软弱瓷娃娃型漂亮男孩，但他贡献了最真实也最可爱的暗恋。说真的这部剧除了友情部分，其他真的有点乏善可陈。,老婆,4,neutral,剧情
1.比较喜欢Chandler，Joey和Phoebe，前两位一个脱口秀达人另一个表情帝，相得益彰；Phoebe太仙了，讲话时手摆来摆去很old-fashion。2.RR组合太墨迹，不过这是能拍下去的驱动力之一；3.米国和英国的家长争执戏很亮；4.季终集为之后的CM组合埋下了伏笔。,脱口秀,4,positive,演员
渐渐结婚生子了。★★★★★,结婚,4,positive,情怀
我在一个月里过完了六个人的十年，感悟着他们的变化，成长，经历着他们的人情世故，真的有一种说不出道不明的情愫。人生有几个十年呢？他们用十年的时间给全世界的fans带来欢笑，期盼和温情，这是一种伟大奉献。都说戏如人生，人生如戏，如若我的人生能像friends一样，当然是一场美好。,道不明,4,positive,情怀
越来越讨厌瑞秋了~~~,讨厌,4,negative,演员
是你太残忍 还是我太天真 你要我来 就真的出席....我还是不喜欢安妮斯顿=_=看到她就觉得烦人,斯顿,4,negative,演员
Rach不是一般的令人厌了,rach,4,negative,演员
从小就在商场看见有卖叫做六人行的影碟，到了现在才开始看。,影碟,4,positive,情怀
"一生最爱的美剧,没有之一!",爱美剧,4,positive,情怀
不喜欢瑞秋,喜欢,4,negative,演员
乔伊有没有遵守诺言“省下应该自己吃的肉给菲比”啊，后面没有提到了，如果有后续其实也挺好玩儿了。片头曲又有改动，结尾增加了一小段，但是感觉没有以前好了，拍手变成了罗斯拍头。。。,遵守,4,neutral,剧情
结尾我真的要为Emily哭泣了....,emily,4,positive,剧情
Rachel一定要破坏每段Ross的感情么！,ross,4,negative,剧情
看到21集吧，我忽然想到一句话，我们本可在一起，只是，少了在一起的契机。我们是异地恋，想来就更不可能了。最后一集充分调侃了英美差异啊。剧中是这样，可是现实呢……,调侃,4,neutral,情怀
是我嫁给ross，我都会变lesbian啦。。。笑料不够给力了。。为了我们家可爱的joey和chandler，继续追。。。还有phoebe!!,ross,4,positive,剧情
真是越来越好看！！！难以名状的喜爱！！！,喜爱,4,positive,剧情
mon和chan终于在一起了也,终于,4,positive,剧情
这季讲RR第二次分手后Ross遇到Emily要结婚。Ross的外形和性格大变，tough了好多，尤其成了嘲讽Rach的代言人。剧情狗血吗？其实也没有。周围多的是情侣分手后有一方眨眼就结婚的。最经典的还是RR吵架！FINE BY ME！,分手,4,neutral,剧情
看到EMILY时，我哭了。为RACHEL哭泣。,emily,4,positive,剧情
E13 男生女生互换公寓超好笑。,互换,4,positive,剧情
真不希望rachel破坏ross的婚礼啊!!!!!!!!! 6人里面最没有好感的就是她了 虽然她有时还蛮搞笑的~ mon和chandler终于要开始了!,婚礼,4,negative,剧情
Rachel·真 drama queen· green,queen,4,positive,剧情
rachel对Ross说恭喜的那个瞬间我心都碎了！,恭喜,4,negative,剧情
最后一集惊现豪斯大叔~,大叔,4,positive,演员
喜欢菲比    不喜欢瑞秋,喜欢,4,neutral,演员
看到最后几集伤感起来了。,伤感,4,neutral,情怀
天 原来我喜欢的角色是：Kathy、Susan、Carol…能不能给她们拍个衍生剧啊…并不是每个女生穿上婚纱就会开心好嘛，我觉得这部剧在当下的语境里拍，会更好看。,婚纱,4,neutral,剧情
莫妮卡和钱德勒终于开始了^_^。。。罗斯和瑞秋还是那么拧巴的让人蛋疼。。。。,钱德勒,4,positive,剧情
劲爆24集！钱德勒和莫妮卡终于在一起啦！,莫妮,4,positive,剧情
Joey好像狗狗??????,好像,4,positive,情怀
感情线明显出来了越来越好看了！,越来越,4,positive,剧情
没想到Emily（《犯罪心理》）居然出现在第四季，小惊喜了一下~球衣造型sexy赞！,惊喜,4,neutral,演员
如果现在重看一次，肯定会发现里面有好多熟人~~,发现,4,neutral,演员
"还是第一季第二季好看，一是服装真的好看，二是剧情更连贯，这一季真的被优酷剪得不成样子，理解大平台没有分级，但是这样看确实是看不下去。里面的女配角都挺好看的，特别艾米丽，这么好看又有意思的女生配给了ross,钱得乐胖胖瘦瘦的，能感觉出来他真人状况是有点问题的，monica其实也是，状态还是第一季最好，这一季好多黑嘴唇和发型和服装都看不懂。其他女生的服装审美也degrade很多。",第一季,4,neutral,剧情
为了练口语又开始看,口语,4,positive,剧情
- -太波折了。艾米丽还是很不错的，不过虽然跟瑞秋很配，但是一直不看好这种朋友间的感情，太尴尬。不过钱的和莫妮卡居然要好上了！虽然没什么夫妻相那也总比跟乔伊好！,不错,4,neutral,剧情
越来越不喜欢瑞秋了,喜欢,4,negative,演员
"Everything's gonna stop when Rachel says congratulations!!!!!!!!!!!我讨厌编剧这反反复复的Ross&Rachel情感线！！！！！Ross渣男！！完全对不起Emily！！！！
发现Monica这一季的声音都沙哑的，造型也不如之前好看，Chandler太可爱，更喜欢Joey了，wow Phoebe is the best!!!!!!!!!",wow,4,negative,剧情
这季就没那么喜欢 ross了,ross,4,negative,演员
目前为止最喜欢的一季。,喜欢,4,positive,剧情
忍不住去看了看第十季的结尾。Rachel and Ross~,第十,4,positive,情怀
感觉笑点有点老了··囧,感觉,4,neutral,剧情
终于 看哭了,终于,4,positive,剧情
RR的感情线真的好烦… 好在终于看到Chan和Mon有进展了！,真的,4,positive,剧情
"“I,Ross ,take thee Rachel.......\"?? 我每次都是从第四季开始重温",每次,4,positive,情怀
jennifer的演技成熟多了 chandler帅多了,演技,4,positive,演员
每每到最后一集都会勾引着你去看下一季。这不仅仅是喜剧，也是治愈系。,引一,4,positive,剧情
越发喜欢Chandle了~~,chandle,4,positive,演员
18岁到28岁都无法接受为弟弟代孕的设定，扣三星全都因为这个原因,设定,4,negative,剧情
高中时光。,时光,4,positive,情怀
"看到第四季真是越来越爱老友记这群人，they taught us how to love and be a good friend,  they're just like my friends and family.",friends,4,positive,情怀
"2011,07,07--2011,07,09","",4,neutral,剧情
看见瑞秋和罗斯就烦,秋罗斯,4,negative,演员
Chanchan和Mon终于有戏了！,终于,4,positive,剧情
这部的笑点特别多 哈哈哈,哈哈哈,4,positive,剧情
最后婚礼那两集，看得我心里面波澜起伏的。注定在一起的人，是怎样也不会分开的吧。真心希望Rachel和Ross能够在一起啊!! 全看完的人不许剧透我!! Joey & Chandler，你俩是有多可爱啊!! p.s：为什么剧里总是吐槽ChanChan，我觉得他是最好的男人啊!!,chanchan,4,positive,剧情
累了，不想看Ross和Rachel分分合合了，只想祝Chandler和Monica百年好合！,不想,4,neutral,剧情
太喜欢乔伊了~~~,喜欢,4,positive,演员
戏剧冲突最强的一季，因为充满了各种反转，比如莫妮卡钱德勒意外在一起，罗斯在婚礼上意外叫错名字，比如菲比代弟生子（因为演员在现实中怀孕所以编剧就势而为，造就了老友记最温暖的情节之一）。很多笑点在本季也达到巅峰，出现了各种经典名场面，比如说11集莫妮卡“模拟G点”的神来之笔。罗斯突然陷入异国爱情有些突兀，本季瑞秋的人设也不太讨喜，但是安妮斯顿的天才表演弥补了一切。,罗斯,4,positive,剧情
人人都爱Joey,joey,4,positive,情怀
看到Ross和Rachel这对苦命鸳鸯真是心痛。424Chandler终于和Monica 在一起啦！！！！！,鸳鸯,4,positive,剧情
少了的那颗星是因为那对不待见的couple,couple,4,neutral,剧情
瑞秋和罗斯的部分在叙事的手段上是连贯和好的，但本身这些分分合合有荒诞和让人厌倦的感觉，情景喜剧的类型冲淡了一些这种感觉，还有一些留下来，继续让人厌烦。,分合,4,neutral,剧情
最讨厌的两个角色ross、rachel,角色,4,negative,演员
ross弹琴那段绝对被某个美剧copy了，忘了,那段,4,neutral,剧情
最后一集又来吊胃口,胃口,4,negative,剧情
好喜欢Emily，可惜婚礼被rachel ruined...,emily,4,positive,剧情
没那么好笑了...开始进入狗血剧情片套路了,套路,4,negative,剧情
结尾总是rachel和ross。,结尾,4,neutral,剧情
结尾震到我了。,结尾,4,positive,剧情
代孕这段没法接受……,没法,4,negative,剧情
终于到C和M的主场了！！！,主场,4,positive,演员
终于看到了没看过的地方。最后一集结尾处快进因为实在太怕尴尬。目前为止最喜欢chan，而mon的声音好性感。,太怕,4,positive,演员
深刻地感受到了文化的差异，他们的感情线是不是太随意了一点！！！瑞秋和罗斯看得要急死我！！！菲比真的太善良了吧，有趣、特别、有点怪异，但是真的太太太善良了，经历过最深的苦难，却也能付出最大的温暖。也很喜欢乔伊，有一种单纯的快乐。甚至有些羡慕，如果有这样的朋友，肯定会被治愈的。【9.7】,秋罗斯,4,positive,情怀
《Friends》在我心里是最好的美剧，没有之一！看到Ross与Emily在英国举行婚礼，脑子进水晃神叫出Rachel的名字时，脑残粉顿时捂住了自己的嘴巴，以免尖叫出来啊，我是太迟钝又太入戏的观众鸟~这一季就已经看出了Chandler和Monica之间暧昧的苗头啦。正经的说，这是练习口语最佳的材料。,观众,4,positive,剧情
看太快，都有点舍不得了。。看完了怎么办啊怎么办啊？,舍不得,4,positive,剧情
这季算很狗血了，最后大家都好反转,狗血,4,negative,剧情
为什么菲比会愿意怀弟弟的孩子呢 囧 况且还是要命的三胞胎 囧 虽然知道某两人最后会走到一起，但总觉得还是基情最高哇 T皿T,三胞胎,4,positive,剧情
喜欢Rachel,rachel,4,positive,演员
"又一季。前几天看到网上有测试题刚好测出来我是chandelier，好开心好开心，是我最喜欢的钱钱。也刚好前几天才知道原来钱钱在拍老友记的十年间现实生活一直很差，可是他还是带给我精彩的表演和许多的笑点。

这季有的剧情我并不算喜欢不喜欢ross在最后辜负了别人，而且ross和Rachel两个人的感情戏真的有点看够了…不喜欢Phoebe帮她的弟弟代孕，可是Phoebe真的好善良。

21集穿插了ross和Rachel互相的曾经，过往四季的一幕幕又出现了。反正很感谢老友记，当我知道他们在现实生活中并不算是朋友的时候会心碎，像梦破碎了，但是也还是感谢并加倍活在这个虚假的梦里。",生活,4,positive,情怀
每晚和媳妇一起看四五集老友记，是这个冬天最幸福的事情。。。。,老友,4,positive,情怀
才知道那个Monica那个百万富翁男朋友是《奇幻森林》《曼达洛人》的导演,朋友,4,neutral,演员
罗斯内心深处爱的还是瑞秋啊,深处,4,positive,剧情
无法想象郁闷的夜晚没有friends要怎么办。,夜晚,4,positive,情怀
钱德勒和莫妮卡稀里糊涂地就那个了，是不是暗示他们会继续？罗斯在临门一脚时说了昏话，莫非是真能跟瑞秋复合？现在就看乔伊和菲比了！,临门,4,neutral,剧情
报告进度，这季还有“代孕”情节，居然二十年前就存在这东西了,东西,4,neutral,剧情
边看第四季和第七季。。如此跳线好苦逼,第七,4,negative,剧情
一看就停不下來><,一看,4,positive,剧情
当第二遍看到罗斯在婚礼上犯傻说出“瑞秋”两字时，让我产生了极度的厌恶。突然间对这种拿感情当儿戏来戏谑的剧情感到恶心，一切都不再好笑了。此时我受够了罗斯的反复无常和瑞秋的自私任性，这两个主角已在我眼里毫无魅力可言。此时，我知道自己也许会接着把剩下的几季看完，但这肯定是最后一遍了。,无常,4,negative,剧情
开始发现你们变成熟了,成熟,4,positive,情怀
到最后最让人感动的并不是放弃破坏所爱之人婚礼的Rachel或是脱口说错新娘名字的Ross，也不是终于开始恋爱的Chandler和Mon，而是Joe这个最不上道的人愿意为怀孕的Pheebs吃素直到她生产。不是形而上的soul mate，却能脚踏实地在实际生活中成为彼此的依靠，这也算是十年老友记揭示的关于朋友的真正意义吧,名字,4,positive,剧情
第四季之前基本上都是围绕着双RG恋来展开剧情。这一季仍然为主线开展但在最后留下了双层悬念，可以预见当时的追剧者有一种“被骗了”的感觉但仍旧惊讶又惊喜地继续期盼下一季。,悬念,4,neutral,剧情
依旧感人！,感人,4,positive,情怀
亮点多多的一季，季尾各种逆转。,季季,4,positive,剧情
明明很爱你，别虐彼此了好吗？！,明明,4,positive,剧情
"截至目前为止大事件发生最多的一季：瑞秋和罗斯在一起分开然后罗斯遇见Emily再婚T,T。。。钱和莫终于迸出爱情火花了啊~~哈哈，菲比为弟弟代孕感人T,T。。。海边的水母、Joey和钱吵架、罗斯婚礼说错新娘名字。。。P.S.：16集，Joshua&Rach感觉好符合我现在的处境啊~",分开,4,positive,剧情
年轻的Hugh Laurie差点认不出来。,差点,4,neutral,演员
莫妮卡跟钱德勒突然就睡在一起了。。。我还有点儿接受不了。。。舍不得看完啊啊啊啊,钱德勒,4,positive,剧情
这季开始被 Ross 和 Rachel 烦死了,ross,4,negative,剧情
我只想知道为毛这一季开始monica的声音就是那种很哑的了,那种,4,neutral,演员
我30岁的时候肯定不会像他们这么欢乐,欢乐,4,neutral,剧情
Phoebe对着三胞胎笑着流泪的时候，她太美了。三个女人当中，最喜欢的是Phoebe，她恶趣味、无厘头、怪品位，完全符合我的审美，但最重要的还是她无与伦比的善良——环保，素食，正义，为弟弟怀孕，关爱每一只小动物比如臭臭猫。她的确前卫、另类；她也普通、温暖。她打动了我的心。,三胞胎,4,positive,演员
一口气把整季看完 简直爽到爆（虽然菲比怀孕之后 就变得不那么搞笑了）!!! 一睡下去果然就梦见Chandler了~ 本来打算看完这一季先停两天再看第五季 但是最后一集Ross在婚礼上错把Rachel的名字说出来之后就戛然而止。请问! 谁抗拒得了这种悬念!! 最值得期待并撒花的是 Monica终于要和Chandler在一起了~~~,一季先,4,positive,剧情
最后一集简直太劲爆了。,太劲,4,positive,剧情
做媽媽那一刻真的好美好美,一刻,4,positive,演员
我们没办法欺骗自己的心。,欺骗,4,positive,情怀
瑞秋说congratulations的时候，我居然哭了。,瑞秋,4,positive,剧情
终于看完了一季。,一季,4,positive,剧情
越来越讨厌瑞秋,讨厌,4,negative,演员
瑞秋就是ross的龙虾??,ross,4,positive,剧情
菲比居然会生孩子~ 难以想象,想象,4,neutral,剧情
我再也找不到这样的电视剧了。,电视剧,4,positive,情怀
一次次的强忍住再一次重看的念头，就好像抑制住自己对一个人的思念，总是在众多新剧的选择中心里偷偷的想念他们。,新剧,4,positive,情怀
通通五星~,五星,4,positive,剧情
记得第一次看老友记是我创业快失败的时候 夜晚的店铺 关灯开投影看老友记 热红酒配麦当劳 还有楼下的鼎香坊 那个时候我的心和食物一样热,老友,4,positive,情怀
莫妮卡和钱德勒在一起是最大的亮点！,亮点,4,positive,剧情
"从第四季开始喜欢Joey，讨厌Ross
不过最喜欢的还是Phoebe呀",讨厌,4,positive,演员
越来越有趣，每个人都那么可爱，开始喜欢phoebe了,phoebe,4,positive,演员
我永远也无法理解ross和rachel。。。,理解,4,negative,剧情
这季有点扎心啊，况且宣誓的时候居然喊出前女友名字，不过布置破败教堂的罗斯还真是浪漫。虽然很喜欢钱德勒，但做人一定要做乔伊,布置,4,neutral,剧情
在飞机上豪斯医生和瑞秋对话那块很搞笑。马修及时面对自己的新娘，还是无意间将自己真正爱的那个人说出口。只是可惜艾米丽了。,对话,4,neutral,剧情
Mon这季的造型真不好看。,造型,4,negative,演员
编辑为了强行凑cp，给艾米莉的待遇太过荒谬。如果仅此结束也就算了，看到第五季的第一集，艾米莉目睹瑞秋与罗斯欲要一起上飞机，实在是忍不住过来给差评了！,米莉,4,neutral,剧情
无需多言,多言,4,neutral,情怀
Phoebe此季怀孕/Ross闪婚Emily/在所有故事线快要穷尽时编剧正式引入Chandler和Monica的炮友线 剧集趣味性正式开挂/此季戏精客串休·劳瑞,此季,4,neutral,剧情
ross要结婚之后的每集都那么虐...,结婚,4,negative,剧情
自本季起，Friends两条最经典的爱情线都正式开启了。Chandler和Monica从朋友上升为恋人，在一起是意料之外却也是情理之中。他们浪漫和谐，他们也争吵摩擦，但我们都明白他们就是彼此最完美的唯一，只因不论何时，他们的爱情始终是以两个人为中心的，在保有自己的同时从来都不会忘了给对方留下那个最重要的位置。Ross和Rachel则从最开始的甜蜜，逐渐变得纠缠、扭曲，直至最后一地鸡毛。只因很多时候，他们总把彼此的感情寄托在第三人或他者的身上，试图用他人的表现证明自己在感情中的优势或价值。归根结底，他们都是脆弱而自私的人，在一段感情中总想着维护自己，却常常忘了对方的感受。虽然这其中有大半是编剧的锅，但我们也要因此感谢编剧，正是这一正一反的对比，让我们对真正美好的爱情是什么样子有了更深的理解。,爱情,4,neutral,剧情
剧情发展很快，菲比戏份有点少,发展,4,neutral,剧情
在飞机上看到了Hugh大叔，我太激动了……,激动,4,positive,演员
原来川普在那年代已经是网红般的话题人物了啊= =,话题,4,neutral,情怀
最喜欢Joey和菲比,joey,4,positive,演员
先平淡后面都是惊喜,惊喜,4,positive,剧情
最后一集把我看哭了。,一集,4,positive,剧情
每月低潮期少不了~,低潮,4,positive,情怀
好看是好看，但看多了会腻，因为对我来说，这基本全是直人的剧情里多少还是显得有些无聊，特别是那三个直男。。。,剧情,4,neutral,剧情
终于看到chandler 和 monica 滚传单了，，,终于,4,positive,剧情
不要在瑞秋和罗斯之间反复腻人的关系上做那么多戏好吗，还单独安排了一集来回顾，根本不感兴趣。,单独,4,negative,剧情
Ross和Rachel真让人蛋疼。。。,人蛋,4,negative,演员
钱和乔基佬游伦敦,伦敦,4,neutral,剧情
"P.S 在最后一集出现的HOUSE大叔年轻时很帅呀, 但好多人都说还是十年后更帅. 看来我更有必要去看HOUSE啦",很帅,4,neutral,演员
唉，我的不了心愿就是能参演一集啊。。。,参演,4,positive,演员
放在手机里，准备重拾，结果拖了一年了。每一集都有新意的故事的感觉真好！菲比代孕在这一季。2015.10.28周三,新意,4,positive,剧情
这一季让我一口气想看完，停不下来。剧情有了实质性的大进展。朋友和恋人的感情在这一季终于开始爆发。我终于开始讨厌起瑞秋的性格，开始看到钱德勒的优秀，CM组合开始触电。最重要的是，我开始狂喜欢菲比了。她真是个好姑娘。,终于,4,positive,剧情
Hugh Laurie @ S4E24 叔說的每一句都是我對美劇主流愛情觀的態度嗯，太自我中心了。,主流,4,negative,演员
越看越觉得这个剧永远吃不透......,永远,4,positive,剧情
编剧真的凭一己之力摧毁了我对罗斯的所有好感，双R的戏码也愈演愈烈到了令人生厌烦腻的地步，可能囿于情景喜剧的框架或是剧情冲突需要的缘由便牺牲了两人的成长弧光，可这样没完没了纠缠下来不但没有令人共情一切也通通都达成了反效果，最惨的还是艾米莉，美梦一场终是空欢喜。所幸一直有点处于“边缘”境地的菲比这一季成为了众人焦点光芒四射，宛若天使降临，有点奇怪却又过分温柔，为了弟弟接受代孕，为了让钱德勒不改名让孩子也叫钱德勒，还成全了莫妮卡的主厨梦，太多关于友情的动人瞬间，连乔伊也拥有一个高光时刻，为了菲比吃素到生产，说菲比吃肉吃的不过是他的那一份。真正的友情就是一起哭一起笑相互治愈拯救携手奔向那个山巅啊，这一季真的很难不爱上菲比啊??,罗斯,4,negative,剧情
看到Phoebe代孕，对代孕有了新的认识。Phoebe真的是天使，为了弟弟居然可以忍受十月怀胎之苦，并承担着巨大的风险以及怀孕生产后遗症，她是很渴望亲情的吧。不过我还是觉得代孕好残忍，在自己肚子里待10个月的宝宝，一出生却要叫别人妈妈，怎么能舍得呢？      这一季服装造型不太行，感觉没什么有记忆点的衣服，Mon的造型不好看，显老。依旧很喜欢Chan&Joey的友情线，他们俩的磁场太对了。嘻嘻，下一季Mon&Chan要发展感情线了，好期待??,phoebe,4,neutral,剧情
老友记第四季，抓马的双R恋，不过！最后一集，钱莫终于在一起了！耶，后面可以看钱德勒和莫妮卡超甜的感情了。每一集都笑的肚子痛，太爱老友记了，感觉乔伊越来越故意弱智，也不知道为什么要这样，菲比依然怪咖毒舌但善良独立，罗斯和瑞秋总是伤害彼此还有他人的情感，果然还是最喜欢钱德勒和莫妮卡哈哈。,感情,4,positive,剧情
豪斯医生哈哈哈,医生,4,positive,演员
